Valor de la Función Objetivo: 4980, Tiempo de cómputo: 5.30122 segundos
Cantidad total de ventanas horarias entre todos los profesores: 4, Ponderación asociada: 50
Cantidad total de lecciones dobles no asignadas: 78, Ponderación asociada: 10

# Lista de Asignaciones (D x P x C) x 4
Día0, Período0, Clase0, Profesor10
Día0, Período0, Clase1, Profesor2
Día0, Período0, Clase2, Profesor14
Día0, Período0, Clase3, Profesor3
Día0, Período0, Clase4, Profesor13
Día0, Período0, Clase5, Profesor17
Día0, Período0, Clase6, Profesor15
Día0, Período0, Clase7, Profesor0
Día0, Período0, Clase8, Profesor4
Día0, Período0, Clase9, Profesor9
Día0, Período0, Clase10, Profesor16
Día0, Período0, Clase11, Profesor23
Día0, Período1, Clase0, Profesor10
Día0, Período1, Clase1, Profesor2
Día0, Período1, Clase2, Profesor14
Día0, Período1, Clase3, Profesor3
Día0, Período1, Clase4, Profesor19
Día0, Período1, Clase5, Profesor17
Día0, Período1, Clase6, Profesor15
Día0, Período1, Clase7, Profesor13
Día0, Período1, Clase8, Profesor4
Día0, Período1, Clase9, Profesor8
Día0, Período1, Clase10, Profesor0
Día0, Período1, Clase11, Profesor16
Día0, Período2, Clase0, Profesor2
Día0, Período2, Clase1, Profesor10
Día0, Período2, Clase2, Profesor3
Día0, Período2, Clase3, Profesor17
Día0, Período2, Clase4, Profesor0
Día0, Período2, Clase5, Profesor15
Día0, Período2, Clase6, Profesor4
Día0, Período2, Clase7, Profesor13
Día0, Período2, Clase8, Profesor18
Día0, Período2, Clase9, Profesor8
Día0, Período2, Clase10, Profesor14
Día0, Período2, Clase11, Profesor16
Día0, Período3, Clase0, Profesor17
Día0, Período3, Clase1, Profesor10
Día0, Período3, Clase2, Profesor2
Día0, Período3, Clase3, Profesor14
Día0, Período3, Clase4, Profesor4
Día0, Período3, Clase5, Profesor18
Día0, Período3, Clase6, Profesor3
Día0, Período3, Clase7, Profesor0
Día0, Período3, Clase8, Profesor13
Día0, Período3, Clase9, Profesor15
Día0, Período3, Clase10, Profesor1
Día0, Período3, Clase11, Profesor22
Día0, Período4, Clase0, Profesor2
Día0, Período4, Clase1, Profesor3
Día0, Período4, Clase2, Profesor17
Día0, Período4, Clase3, Profesor13
Día0, Período4, Clase4, Profesor5
Día0, Período4, Clase5, Profesor18
Día0, Período4, Clase6, Profesor4
Día0, Período4, Clase7, Profesor1
Día0, Período4, Clase8, Profesor0
Día0, Período4, Clase9, Profesor15
Día0, Período4, Clase10, Profesor12
Día0, Período4, Clase11, Profesor22
Día1, Período0, Clase0, Profesor21
Día1, Período0, Clase1, Profesor23
Día1, Período0, Clase2, Profesor2
Día1, Período0, Clase3, Profesor13
Día1, Período0, Clase4, Profesor0
Día1, Período0, Clase5, Profesor3
Día1, Período0, Clase6, Profesor17
Día1, Período0, Clase7, Profesor4
Día1, Período0, Clase8, Profesor15
Día1, Período0, Clase9, Profesor25
Día1, Período0, Clase10, Profesor14
Día1, Período0, Clase11, Profesor7
Día1, Período1, Clase0, Profesor21
Día1, Período1, Clase1, Profesor14
Día1, Período1, Clase2, Profesor26
Día1, Período1, Clase3, Profesor2
Día1, Período1, Clase4, Profesor13
Día1, Período1, Clase5, Profesor4
Día1, Período1, Clase6, Profesor17
Día1, Período1, Clase7, Profesor3
Día1, Período1, Clase8, Profesor15
Día1, Período1, Clase9, Profesor1
Día1, Período1, Clase10, Profesor23
Día1, Período1, Clase11, Profesor25
Día1, Período2, Clase0, Profesor3
Día1, Período2, Clase1, Profesor26
Día1, Período2, Clase2, Profesor17
Día1, Período2, Clase3, Profesor14
Día1, Período2, Clase4, Profesor20
Día1, Período2, Clase5, Profesor13
Día1, Período2, Clase6, Profesor25
Día1, Período2, Clase7, Profesor4
Día1, Período2, Clase8, Profesor1
Día1, Período2, Clase9, Profesor0
Día1, Período2, Clase10, Profesor23
Día1, Período2, Clase11, Profesor7
Día1, Período3, Clase0, Profesor23
Día1, Período3, Clase1, Profesor17
Día1, Período3, Clase2, Profesor14
Día1, Período3, Clase3, Profesor20
Día1, Período3, Clase4, Profesor19
Día1, Período3, Clase5, Profesor25
Día1, Período3, Clase6, Profesor13
Día1, Período3, Clase7, Profesor15
Día1, Período3, Clase8, Profesor1
Día1, Período3, Clase9, Profesor7
Día1, Período3, Clase10, Profesor0
Día1, Período3, Clase11, Profesor12
Día1, Período4, Clase0, Profesor11
Día1, Período4, Clase1, Profesor17
Día1, Período4, Clase2, Profesor10
Día1, Período4, Clase3, Profesor19
Día1, Período4, Clase4, Profesor20
Día1, Período4, Clase5, Profesor13
Día1, Período4, Clase6, Profesor15
