Valor de la Función Objetivo: 3370, Tiempo de cómputo: 2.08528 segundos
Cantidad total de ventanas horarias entre todos los profesores: 4, Ponderación asociada: 50
Cantidad total de lecciones dobles no asignadas: 17, Ponderación asociada: 10

# Lista de Asignaciones (D x P x C) x 4
Día0, Período0, Clase0, Profesor8
Día0, Período0, Clase1, Profesor7
Día0, Período0, Clase2, Profesor6
Día0, Período1, Clase0, Profesor13
Día0, Período1, Clase1, Profesor7
Día0, Período1, Clase2, Profesor6
Día0, Período2, Clase0, Profesor8
Día0, Período2, Clase1, Profesor6
Día0, Período2, Clase2, Profesor7
Día0, Período3, Clase0, Profesor10
Día0, Período3, Clase1, Profesor13
Día0, Período3, Clase2, Profesor7
Día0, Período4, Clase0, Profesor10
Día0, Período4, Clase1, Profesor4
Día0, Período4, Clase2, Profesor13
Día1, Período0, Clase0, Profesor1
Día1, Período0, Clase1, Profesor7
Día1, Período0, Clase2, Profesor9
Día1, Período1, Clase0, Profesor1
Día1, Período1, Clase1, Profesor5
Día1, Período1, Clase2, Profesor7
Día1, Período2, Clase0, Profesor0
Día1, Período2, Clase1, Profesor5
Día1, Período2, Clase2, Profesor7
Día1, Período3, Clase0, Profesor2
Día1, Período3, Clase1, Profesor7
Día1, Período3, Clase2, Profesor5
Día1, Período4, Clase0, Profesor2
Día1, Período4, Clase1, Profesor12
Día1, Período4, Clase2, Profesor5
Día2, Período0, Clase0, Profesor3
Día2, Período0, Clase1, Profesor8
Día2, Período0, Clase2, Profesor4
Día2, Período1, Clase0, Profesor4
Día2, Período1, Clase1, Profesor13
Día2, Período1, Clase2, Profesor3
Día2, Período2, Clase0, Profesor14
Día2, Período2, Clase1, Profesor4
Día2, Período2, Clase2, Profesor8
Día2, Período3, Clase0, Profesor13
Día2, Período3, Clase1, Profesor4
Día2, Período3, Clase2, Profesor8
Día2, Período4, Clase0, Profesor4
Día2, Período4, Clase1, Profesor8
Día2, Período4, Clase2, Profesor13
Día3, Período0, Clase0, Profesor6
Día3, Período0, Clase1, Profesor9
Día3, Período0, Clase2, Profesor1
Día3, Período1, Clase0, Profesor6
Día3, Período1, Clase1, Profesor9
Día3, Período1, Clase2, Profesor1
Día3, Período2, Clase0, Profesor4
Día3, Período2, Clase1, Profesor6
Día3, Período2, Clase2, Profesor9
Día3, Período3, Clase0, Profesor9
Día3, Período3, Clase1, Profesor12
Día3, Período3, Clase2, Profesor4
Día3, Período4, Clase0, Profesor9
Día3, Período4, Clase1, Profesor3
Día3, Período4, Clase2, Profesor4
Día4, Período0, Clase0, Profesor14
Día4, Período0, Clase1, Profesor3
Día4, Período0, Clase2, Profesor0
Día4, Período1, Clase0, Profesor0
Día4, Período1, Clase1, Profesor14
Día4, Período1, Clase2, Profesor3
Día4, Período2, Clase0, Profesor3
Día4, Período2, Clase1, Profesor0
Día4, Período2, Clase2, Profesor14
Día4, Período3, Clase0, Profesor11
Día4, Período3, Clase1, Profesor0
Día4, Período3, Clase2, Profesor14
Día4, Período4, Clase0, Profesor11
Día4, Período4, Clase1, Profesor14
Día4, Período4, Clase2, Profesor0
