Valor de la Función Objetivo: 5240, Tiempo de cómputo: 3.74207 segundos
Cantidad total de ventanas horarias entre todos los profesores: 13, Ponderación asociada: 50
Cantidad total de lecciones dobles no asignadas: 59, Ponderación asociada: 10

# Lista de Asignaciones (D x P x C) x 4
Día0, Período0, Clase0, Profesor9
Día0, Período0, Clase1, Profesor5
Día0, Período0, Clase2, Profesor6
Día0, Período0, Clase3, Profesor1
Día0, Período0, Clase4, Profesor18
Día0, Período0, Clase5, Profesor17
Día0, Período0, Clase6, Profesor7
Día0, Período0, Clase7, Profesor19
Día0, Período0, Clase8, Profesor13
Día0, Período1, Clase0, Profesor7
Día0, Período1, Clase1, Profesor5
Día0, Período1, Clase2, Profesor6
Día0, Período1, Clase3, Profesor1
Día0, Período1, Clase4, Profesor19
Día0, Período1, Clase5, Profesor18
Día0, Período1, Clase6, Profesor9
Día0, Período1, Clase7, Profesor17
Día0, Período1, Clase8, Profesor13
Día0, Período2, Clase0, Profesor9
Día0, Período2, Clase1, Profesor7
Día0, Período2, Clase2, Profesor5
Día0, Período2, Clase3, Profesor2
Día0, Período2, Clase4, Profesor17
Día0, Período2, Clase5, Profesor13
Día0, Período2, Clase6, Profesor1
Día0, Período2, Clase7, Profesor18
Día0, Período2, Clase8, Profesor19
Día0, Período3, Clase0, Profesor18
Día0, Período3, Clase1, Profesor13
Día0, Período3, Clase2, Profesor5
Día0, Período3, Clase3, Profesor7
Día0, Período3, Clase4, Profesor4
Día0, Período3, Clase5, Profesor2
Día0, Período3, Clase6, Profesor1
Día0, Período3, Clase7, Profesor19
Día0, Período3, Clase8, Profesor17
Día0, Período4, Clase0, Profesor5
Día0, Período4, Clase1, Profesor2
Día0, Período4, Clase2, Profesor18
Día0, Período4, Clase3, Profesor7
Día0, Período4, Clase4, Profesor19
Día0, Período4, Clase5, Profesor13
Día0, Período4, Clase6, Profesor17
Día0, Período4, Clase7, Profesor16
Día0, Período4, Clase8, Profesor4
Día1, Período0, Clase0, Profesor10
Día1, Período0, Clase1, Profesor18
Día1, Período0, Clase2, Profesor15
Día1, Período0, Clase3, Profesor8
Día1, Período0, Clase4, Profesor9
Día1, Período0, Clase5, Profesor3
Día1, Período0, Clase6, Profesor17
Día1, Período0, Clase7, Profesor19
Día1, Período0, Clase8, Profesor4
Día1, Período1, Clase0, Profesor2
Día1, Período1, Clase1, Profesor1
Día1, Período1, Clase2, Profesor13
Día1, Período1, Clase3, Profesor12
Día1, Período1, Clase4, Profesor9
Día1, Período1, Clase5, Profesor19
Día1, Período1, Clase6, Profesor8
Día1, Período1, Clase7, Profesor17
Día1, Período1, Clase8, Profesor10
Día1, Período2, Clase0, Profesor1
Día1, Período2, Clase1, Profesor2
Día1, Período2, Clase2, Profesor13
Día1, Período2, Clase3, Profesor8
Día1, Período2, Clase4, Profesor17
Día1, Período2, Clase5, Profesor15
Día1, Período2, Clase6, Profesor10
Día1, Período2, Clase7, Profesor19
Día1, Período2, Clase8, Profesor3
Día1, Período3, Clase0, Profesor1
Día1, Período3, Clase1, Profesor10
Día1, Período3, Clase2, Profesor3
Día1, Período3, Clase3, Profesor9
Día1, Período3, Clase4, Profesor19
Día1, Período3, Clase5, Profesor17
Día1, Período3, Clase6, Profesor2
Día1, Período3, Clase7, Profesor13
Día1, Período3, Clase8, Profesor15
Día1, Período4, Clase0, Profesor2
Día1, Período4, Clase1, Profesor1
Día1, Período4, Clase2, Profesor15
Día1, Período4, Clase3, Profesor9
Día1, Período4, Clase4, Profesor13
Día1, Período4, Clase5, Profesor17
Día1, Período4, Clase6, Profesor8
Día1, Período4, Clase7, Profesor10
Día1, Período4, Clase8, Profesor3
Día2, Período0, Clase0, Profesor9
Día2, Período0, Clase1, Profesor7
Día2, Período0, Clase2, Profesor2
Día2, Período0, Clase3, Profesor17
Día2, Período0, Clase4, Profesor3
Día2, Período0, Clase5, Profesor15
Día2, Período0, Clase6, Profesor10
Día2, Período0, Clase7, Profesor11
Día2, Período0, Clase8, Profesor18
Día2, Período1, Clase0, Profesor0
Día2, Período1, Clase1, Profesor7
Día2, Período1, Clase2, Profesor6
Día2, Período1, Clase3, Profesor17
Día2, Período1, Clase4, Profesor18
Día2, Período1, Clase5, Profesor10
Día2, Período1, Clase6, Profesor2
Día2, Período1, Clase7, Profesor11
Día2, Período1, Clase8, Profesor15
Día2, Período2, Clase0, Profesor18
Día2, Período2, Clase1, Profesor10
Día2, Período2, Clase2, Profesor6
Día2, Período2, Clase3, Profesor2
Día2, Período2, Clase4, Profesor9
Día2, Período2, Clase5, Profesor19
Día2, Período2, Clase6, Profesor7
Día2, Período2, Clase7, Profesor15
Día2, Período2, Clase8, Profesor17
Día2, Período3, Clase0, Profesor7
Día2, Período3, Clase1, Profesor14
Día2, Período3, Clase2, Profesor3
Día2, Período3, Clase3, Profesor2
Día2, Período3, Clase4, Profesor9
Día2, Período3, Clase5, Profesor19
Día2, Período3, Clase6, Profesor18
Día2, Período3, Clase7, Profesor17
Día2, Período3, Clase8, Profesor15
Día2, Período4, Clase0, Profesor2
Día2, Período4, Clase1, Profesor14
Día2, Período4, Clase2, Profesor3
Día2, Período4, Clase3, Profesor7
Día2, Período4, Clase4, Profesor17
Día2, Período4, Clase5, Profesor15
Día2, Período4, Clase6, Profesor9
Día2, Período4, Clase7, Profesor18
Día2, Período4, Clase8, Profesor19
Día3, Período0, Clase0, Profesor7
Día3, Período0, Clase1, Profesor5
Día3, Período0, Clase2, Profesor15
Día3, Período0, Clase3, Profesor14
Día3, Período0, Clase4, Profesor10
Día3, Período0, Clase5, Profesor19
Día3, Período0, Clase6, Profesor1
Día3, Período0, Clase7, Profesor3
Día3, Período0, Clase8, Profesor18
Día3, Período1, Clase0, Profesor1
Día3, Período1, Clase1, Profesor18
Día3, Período1, Clase2, Profesor5
Día3, Período1, Clase3, Profesor7
Día3, Período1, Clase4, Profesor10
Día3, Período1, Clase5, Profesor15
Día3, Período1, Clase6, Profesor2
Día3, Período1, Clase7, Profesor13
Día3, Período1, Clase8, Profesor19
Día3, Período2, Clase0, Profesor1
Día3, Período2, Clase1, Profesor13
Día3, Período2, Clase2, Profesor2
Día3, Período2, Clase3, Profesor14
Día3, Período2, Clase4, Profesor3
Día3, Período2, Clase5, Profesor18
Día3, Período2, Clase6, Profesor7
Día3, Período2, Clase7, Profesor10
Día3, Período2, Clase8, Profesor19
Día3, Período3, Clase0, Profesor5
Día3, Período3, Clase1, Profesor14
Día3, Período3, Clase2, Profesor18
Día3, Período3, Clase3, Profesor1
Día3, Período3, Clase4, Profesor3
Día3, Período3, Clase5, Profesor2
Día3, Período3, Clase6, Profesor7
Día3, Período3, Clase7, Profesor15
Día3, Período3, Clase8, Profesor13
Día3, Período4, Clase0, Profesor5
Día3, Período4, Clase1, Profesor14
Día3, Período4, Clase2, Profesor13
Día3, Período4, Clase3, Profesor1
Día3, Período4, Clase4, Profesor19
Día3, Período4, Clase5, Profesor3
Día3, Período4, Clase6, Profesor18
Día3, Período4, Clase7, Profesor15
Día3, Período4, Clase8, Profesor17
Día4, Período0, Clase0, Profesor0
Día4, Período0, Clase1, Profesor13
Día4, Período0, Clase2, Profesor10
Día4, Período0, Clase3, Profesor9
Día4, Período0, Clase4, Profesor4
Día4, Período0, Clase5, Profesor3
Día4, Período0, Clase6, Profesor8
Día4, Período0, Clase7, Profesor11
Día4, Período0, Clase8, Profesor16
Día4, Período1, Clase0, Profesor0
Día4, Período1, Clase1, Profesor2
Día4, Período1, Clase2, Profesor16
Día4, Período1, Clase3, Profesor9
Día4, Período1, Clase4, Profesor4
Día4, Período1, Clase5, Profesor13
Día4, Período1, Clase6, Profesor8
Día4, Período1, Clase7, Profesor3
Día4, Período1, Clase8, Profesor10
Día4, Período2, Clase0, Profesor10
Día4, Período2, Clase1, Profesor1
Día4, Período2, Clase2, Profesor15
Día4, Período2, Clase3, Profesor8
Día4, Período2, Clase4, Profesor3
Día4, Período2, Clase5, Profesor2
Día4, Período2, Clase6, Profesor9
Día4, Período2, Clase7, Profesor13
Día4, Período2, Clase8, Profesor4
Día4, Período3, Clase0, Profesor2
Día4, Período3, Clase1, Profesor1
Día4, Período3, Clase2, Profesor10
Día4, Período3, Clase3, Profesor8
Día4, Período3, Clase4, Profesor13
Día4, Período3, Clase5, Profesor16
Día4, Período3, Clase6, Profesor9
Día4, Período3, Clase7, Profesor15
Día4, Período3, Clase8, Profesor3
Día4, Período4, Clase0, Profesor9
Día4, Período4, Clase1, Profesor2
Día4, Período4, Clase2, Profesor2
Día4, Período4, Clase3, Profesor12
Día4, Período4, Clase4, Profesor13
Día4, Período4, Clase5, Profesor10
Día4, Período4, Clase6, Profesor1
Día4, Período4, Clase7, Profesor3
Día4, Período4, Clase8, Profesor15
