Valor de la Función Objetivo: 1690, Tiempo de cómputo: 9.65256 segundos
Cantidad total de ventanas horarias entre todos los profesores: 11, Ponderación asociada: 50
Cantidad total de lecciones dobles no asignadas: 114, Ponderación asociada: 10

# Lista de Asignaciones (D x P x C) x 4
Día0, Período0, Clase0, Profesor44
Día0, Período0, Clase1, Profesor13
Día0, Período0, Clase2, Profesor27
Día0, Período0, Clase3, Profesor29
Día0, Período0, Clase4, Profesor11
Día0, Período0, Clase5, Profesor4
Día0, Período0, Clase6, Profesor7
Día0, Período0, Clase7, Profesor41
Día0, Período0, Clase8, Profesor39
Día0, Período0, Clase9, Profesor42
Día0, Período0, Clase10, Profesor40
Día0, Período0, Clase11, Profesor3
Día0, Período0, Clase12, Profesor31
Día0, Período0, Clase13, Profesor15
Día0, Período0, Clase14, Profesor25
Día0, Período0, Clase15, Profesor21
Día0, Período0, Clase16, Profesor32
Día0, Período0, Clase17, Profesor33
Día0, Período1, Clase0, Profesor1
Día0, Período1, Clase1, Profesor27
Día0, Período1, Clase2, Profesor13
Día0, Período1, Clase3, Profesor29
Día0, Período1, Clase4, Profesor21
Día0, Período1, Clase5, Profesor4
Día0, Período1, Clase6, Profesor38
Día0, Período1, Clase7, Profesor15
Día0, Período1, Clase8, Profesor39
Día0, Período1, Clase9, Profesor41
Día0, Período1, Clase10, Profesor40
Día0, Período1, Clase11, Profesor42
Día0, Período1, Clase12, Profesor31
Día0, Período1, Clase13, Profesor25
Día0, Período1, Clase14, Profesor30
Día0, Período1, Clase15, Profesor7
Día0, Período1, Clase16, Profesor32
Día0, Período1, Clase17, Profesor33
Día0, Período2, Clase0, Profesor29
Día0, Período2, Clase1, Profesor1
Día0, Período2, Clase2, Profesor13
Día0, Período2, Clase3, Profesor27
Día0, Período2, Clase4, Profesor21
Día0, Período2, Clase5, Profesor0
Día0, Período2, Clase6, Profesor38
Día0, Período2, Clase7, Profesor15
Día0, Período2, Clase8, Profesor7
Día0, Período2, Clase9, Profesor42
Día0, Período2, Clase10, Profesor25
Día0, Período2, Clase11, Profesor31
Día0, Período2, Clase12, Profesor41
Día0, Período2, Clase13, Profesor30
Día0, Período2, Clase14, Profesor40
Día0, Período2, Clase15, Profesor10
Día0, Período2, Clase16, Profesor33
Día0, Período2, Clase17, Profesor32
Día0, Período3, Clase0, Profesor1
Día0, Período3, Clase1, Profesor13
Día0, Período3, Clase2, Profesor27
Día0, Período3, Clase3, Profesor7
Día0, Período3, Clase4, Profesor8
Día0, Período3, Clase5, Profesor0
Día0, Período3, Clase6, Profesor30
Día0, Período3, Clase7, Profesor37
Día0, Período3, Clase8, Profesor19
Día0, Período3, Clase9, Profesor34
Día0, Período3, Clase10, Profesor24
Día0, Período3, Clase11, Profesor31
Día0, Período3, Clase12, Profesor41
Día0, Período3, Clase13, Profesor25
Día0, Período3, Clase14, Profesor38
Día0, Período3, Clase15, Profesor10
Día0, Período3, Clase16, Profesor33
Día0, Período3, Clase17, Profesor15
Día0, Período4, Clase0, Profesor8
Día0, Período4, Clase1, Profesor1
Día0, Período4, Clase2, Profesor36
Día0, Período4, Clase3, Profesor27
Día0, Período4, Clase4, Profesor28
Día0, Período4, Clase5, Profesor41
Día0, Período4, Clase6, Profesor30
Día0, Período4, Clase7, Profesor37
Día0, Período4, Clase8, Profesor19
Día0, Período4, Clase9, Profesor34
Día0, Período4, Clase10, Profesor7
Día0, Período4, Clase11, Profesor6
Día0, Período4, Clase12, Profesor18
Día0, Período4, Clase13, Profesor38
Día0, Período4, Clase14, Profesor25
Día0, Período4, Clase15, Profesor33
Día0, Período4, Clase16, Profesor20
Día0, Período4, Clase17, Profesor15
Día1, Período0, Clase0, Profesor26
Día1, Período0, Clase1, Profesor43
Día1, Período0, Clase2, Profesor36
Día1, Período0, Clase3, Profesor27
Día1, Período0, Clase4, Profesor1
Día1, Período0, Clase5, Profesor41
Día1, Período0, Clase6, Profesor30
Día1, Período0, Clase7, Profesor19
Día1, Período0, Clase8, Profesor39
Día1, Período0, Clase9, Profesor37
Día1, Período0, Clase10, Profesor23
Día1, Período0, Clase11, Profesor13
Día1, Período0, Clase12, Profesor31
Día1, Período0, Clase13, Profesor38
Día1, Período0, Clase14, Profesor7
Día1, Período0, Clase15, Profesor10
Día1, Período0, Clase16, Profesor3
Día1, Período0, Clase17, Profesor12
Día1, Período1, Clase0, Profesor44
Día1, Período1, Clase1, Profesor43
Día1, Período1, Clase2, Profesor27
Día1, Período1, Clase3, Profesor1
Día1, Período1, Clase4, Profesor22
Día1, Período1, Clase5, Profesor41
Día1, Período1, Clase6, Profesor38
Día1, Período1, Clase7, Profesor37
Día1, Período1, Clase8, Profesor39
