Valor de la Función Objetivo: 3030, Tiempo de cómputo: 8.51741 segundos
Cantidad total de ventanas horarias entre todos los profesores: 6, Ponderación asociada: 50
Cantidad total de lecciones dobles no asignadas: 73, Ponderación asociada: 10

# Lista de Asignaciones (D x P x C) x 4
Día0, Período0, Clase0, Profesor10
Día0, Período0, Clase1, Profesor40
Día0, Período0, Clase2, Profesor39
Día0, Período0, Clase3, Profesor25
Día0, Período0, Clase4, Profesor34
Día0, Período0, Clase5, Profesor22
Día0, Período0, Clase6, Profesor2
Día0, Período0, Clase7, Profesor6
Día0, Período0, Clase8, Profesor24
Día0, Período0, Clase9, Profesor31
Día0, Período0, Clase10, Profesor1
Día0, Período0, Clase11, Profesor35
Día0, Período0, Clase12, Profesor21
Día0, Período0, Clase13, Profesor17
Día0, Período0, Clase14, Profesor18
Día0, Período0, Clase15, Profesor7
Día0, Período1, Clase0, Profesor39
Día0, Período1, Clase1, Profesor40
Día0, Período1, Clase2, Profesor22
Día0, Período1, Clase3, Profesor25
Día0, Período1, Clase4, Profesor34
Día0, Período1, Clase5, Profesor43
Día0, Período1, Clase6, Profesor10
Día0, Período1, Clase7, Profesor6
Día0, Período1, Clase8, Profesor42
Día0, Período1, Clase9, Profesor31
Día0, Período1, Clase10, Profesor1
Día0, Período1, Clase11, Profesor35
Día0, Período1, Clase12, Profesor24
Día0, Período1, Clase13, Profesor36
Día0, Período1, Clase14, Profesor0
Día0, Período1, Clase15, Profesor2
Día0, Período2, Clase0, Profesor27
Día0, Período2, Clase1, Profesor39
Día0, Período2, Clase2, Profesor22
Día0, Período2, Clase3, Profesor40
Día0, Período2, Clase4, Profesor5
Día0, Período2, Clase5, Profesor43
Día0, Período2, Clase6, Profesor10
Día0, Período2, Clase7, Profesor30
Día0, Período2, Clase8, Profesor12
Día0, Período2, Clase9, Profesor3
Día0, Período2, Clase10, Profesor23
Día0, Período2, Clase11, Profesor6
Día0, Período2, Clase12, Profesor24
Día0, Período2, Clase13, Profesor17
Día0, Período2, Clase14, Profesor16
Día0, Período2, Clase15, Profesor15
Día0, Período3, Clase0, Profesor27
Día0, Período3, Clase1, Profesor39
Día0, Período3, Clase2, Profesor25
Día0, Período3, Clase3, Profesor40
Día0, Período3, Clase4, Profesor5
Día0, Período3, Clase5, Profesor22
Día0, Período3, Clase6, Profesor3
Día0, Período3, Clase7, Profesor30
Día0, Período3, Clase8, Profesor10
Día0, Período3, Clase9, Profesor33
Día0, Período3, Clase10, Profesor29
Día0, Período3, Clase11, Profesor6
Día0, Período3, Clase12, Profesor17
Día0, Período3, Clase13, Profesor26
Día0, Período3, Clase14, Profesor16
Día0, Período3, Clase15, Profesor15
Día0, Período4, Clase0, Profesor39
Día0, Período4, Clase1, Profesor27
Día0, Período4, Clase2, Profesor40
Día0, Período4, Clase3, Profesor22
Día0, Período4, Clase4, Profesor28
Día0, Período4, Clase5, Profesor5
Día0, Período4, Clase6, Profesor3
Día0, Período4, Clase7, Profesor29
Día0, Período4, Clase8, Profesor10
Día0, Período4, Clase9, Profesor33
Día0, Período4, Clase10, Profesor6
Día0, Período4, Clase11, Profesor13
